source,target,type,weight
62,7,spatial,0.0
63,0,spatial,0.0
63,1,spatial,0.0
63,2,spatial,0.0
63,3,spatial,0.0
63,4,spatial,0.0
63,5,spatial,0.0
63,6,spatial,0.0
63,7,spatial,0.0
64,0,spatial,0.0
64,1,spatial,0.0
64,2,spatial,0.0
64,3,spatial,0.0
64,4,spatial,0.0
64,5,spatial,0.0
64,6,spatial,0.0
64,7,spatial,0.0
65,0,spatial,0.0
65,1,spatial,0.0
65,2,spatial,0.0
65,3,spatial,0.0
65,4,spatial,0.0
65,5,spatial,0.0
65,6,spatial,0.0
65,7,spatial,0.0
66,0,spatial,0.0
66,1,spatial,0.0
66,2,spatial,0.0
66,3,spatial,0.0
66,4,spatial,0.0
66,5,spatial,0.0
66,6,spatial,0.0
66,7,spatial,0.0
67,0,spatial,0.0
67,1,spatial,0.0
67,2,spatial,0.0
67,3,spatial,0.0
67,4,spatial,0.0
67,5,spatial,0.0
67,6,spatial,0.0
67,7,spatial,0.0
68,0,spatial,0.0
68,1,spatial,0.0
68,2,spatial,0.0
68,3,spatial,0.0
68,4,spatial,0.0
68,5,spatial,0.0
68,6,spatial,0.0
68,7,spatial,0.0
69,0,spatial,0.0
69,1,spatial,0.0
69,2,spatial,0.0
69,3,spatial,0.0
69,4,spatial,0.0
69,5,spatial,0.0
69,6,spatial,0.0
69,7,spatial,0.0
70,0,spatial,0.0
70,1,spatial,0.0
70,2,spatial,0.0
70,3,spatial,0.0
70,4,spatial,0.0
70,5,spatial,0.0
70,6,spatial,0.0
70,7,spatial,0.0
71,0,spatial,0.0
71,1,spatial,0.0
71,2,spatial,0.0
71,3,spatial,0.0
71,4,spatial,0.0
71,5,spatial,0.0
71,6,spatial,0.0
71,7,spatial,0.0
72,0,spatial,0.0
72,1,spatial,0.0
72,2,spatial,0.0
72,3,spatial,0.0
72,4,spatial,0.0
72,5,spatial,0.0
72,6,spatial,0.0
72,7,spatial,0.0
73,0,spatial,0.0
73,1,spatial,0.0
73,2,spatial,0.0
73,3,spatial,0.0
73,4,spatial,0.0
73,5,spatial,0.0
73,6,spatial,0.0
73,7,spatial,0.0
74,0,spatial,0.0
74,1,spatial,0.0
74,2,spatial,0.0
74,3,spatial,0.0
